2021-08-26 15:01:28.534083;Artur Welerson#2426;//gaal 1 -2 1 1 1 -2 5 10 12 2 1 2 -1 2 2 1;Enviado o print da Q4 para a pessoa
2021-08-26 15:01:50.373131;Zayan#1872;//gaal 5;Enviado o print da Q5 para a pessoa
2021-08-26 15:02:07.549876;Pedafonso#8449;//gaal 4;Enviado o print da Q4 para a pessoa
2021-08-26 15:02:57.270637;Breno Max#6891;//gaal 1 2 9 9 0 2 0 1 3 0 0 1 3 -2 -8 -6;[[0, 2, 0]]
2021-08-26 15:02:58.521903;Breno Max#6891;//gaal 1 2 9 9 0 2 0 1 3 0 0 1 3 -2 -8 -6;Enviado o print da Q4 para a pessoa
2021-08-26 15:03:37.604947;Flype#2015;//gaal 4;Enviado o print da Q4 para a pessoa
2021-08-26 15:04:13.381907;KHRYSS#5731;//gaal 2;Enviado o print da Q2 para a pessoa
2021-08-26 15:06:26.374221;Victor Lopes#2864;//gaal 1 0 -2 1 2 1 0 10 6 2 -7 -4 -1 1 1 1;[[0, -2, 1]]
2021-08-26 15:06:27.377223;Victor Lopes#2864;//gaal 1 0 -2 1 2 1 0 10 6 2 -7 -4 -1 1 1 1;Enviado o print da Q4 para a pessoa
2021-08-26 15:07:55.028456;selipenes#2226;//gaal 4;Enviado o print da Q4 para a pessoa
2021-08-26 15:08:07.474410;Zayan#1872;//gaal 3;Enviado o print da Q3 para a pessoa
2021-08-26 15:08:35.697285;KHRYSS#5731;//gaal 3;Enviado o print da Q3 para a pessoa
2021-08-26 15:09:37.172846;Victor Lopes#2864;//gaal 2;Enviado o print da Q2 para a pessoa
2021-08-26 15:10:05.376393;Rafaela#0058;//gaal 1 3 2 -2 9 12 -9 1 -2 1 1 3 -2 -2 -1 1;[[3, 2, -2]]
2021-08-26 15:10:12.423156;Rafaela#0058;//gaal 1 3 2 -2 9 12 -9 1 -2 1 1 3 -2 -2 -1 1;Enviado o print da Q4 para a pessoa
2021-08-26 15:10:31.897484;Pedafonso#8449;//gaal 4;Enviado o print da Q4 para a pessoa
2021-08-26 15:11:51.782348;Victor Lopes#2864;//gaal 3;Enviado o print da Q3 para a pessoa
2021-08-26 15:12:16.209257;eduardolmattos#8237;//gaal 4;Enviado o print da Q4 para a pessoa
2021-08-26 15:12:17.710837;TD4rkP#2625;//gaal 4;Enviado o print da Q4 para a pessoa
2021-08-26 15:13:13.390013;KHRYSS#5731;//gaal 4;Enviado o print da Q4 para a pessoa
2021-08-26 15:14:04.912170;Walkeer#7635;//gaal 1;Mandou o exemplo
2021-08-26 15:15:34.005100;Samuel Barba#4649;//gaal 1 4 4 8 2 1 1 0 1 3 -1 3 1 -6 -5 -9;[[-1, 3, 1]]
2021-08-26 15:15:35.144423;Samuel Barba#4649;//gaal 1 4 4 8 2 1 1 0 1 3 -1 3 1 -6 -5 -9;Enviado o print da Q4 para a pessoa
2021-08-26 15:15:53.853863;Walkeer#7635;//gaal 1 2 1 1 9 -5 -13 -1 1 3 12 -6 -15 3 -1 -2;[[2, 1, 1]]
2021-08-26 15:15:55.108365;Walkeer#7635;//gaal 1 2 1 1 9 -5 -13 -1 1 3 12 -6 -15 3 -1 -2;Enviado o print da Q4 para a pessoa
2021-08-26 15:17:48.115862;Zayan#1872;//gaal 4;Enviado o print da Q4 para a pessoa
2021-08-26 15:18:06.654751;KHRYSS#5731;//gaal 5;Enviado o print da Q5 para a pessoa
2021-08-26 15:18:12.103270;Victor Moreira#7787;//gaal 1 0 2 3 -1 -3 -4 3 -1 0 1 1 1 2 0 -1;[[3, -1, 0]]
2021-08-26 15:18:13.295837;Victor Moreira#7787;//gaal 1 0 2 3 -1 -3 -4 3 -1 0 1 1 1 2 0 -1;Enviado o print da Q4 para a pessoa
2021-08-26 15:18:33.286738;Pedafonso#8449;//gaal 5;Enviado o print da Q5 para a pessoa
2021-08-26 15:19:50.519279;juliocastro#0105;//gaal 1 1 -2 0 1 1 3 -1 0 0 7 4 18 -1 0 -2;[[-1, 0, 0]]
2021-08-26 15:19:51.725505;juliocastro#0105;//gaal 1 1 -2 0 1 1 3 -1 0 0 7 4 18 -1 0 -2;Enviado o print da Q4 para a pessoa
